w_v_nm,solar_E_wm2um,a_ozone,a_umg,a_water,cloud_a_i,cloud_b_i,cloud_c_i,cloud_d_i,cloud_e_i,cloud_f_i
447,1.874,0.003,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
448,2.036,0.003,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
449,2.054,0.003,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
450,2.135,0.003,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
451,2.111,0.003,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
452,2.004,0.004,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
453,2.007,0.004,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
454,2.024,0.005,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
455,2.03,0.005,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
456,2.066,0.006,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
457,2.06,0.007,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
458,2.028,0.007,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
459,2.028,0.008,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
460,2.029,0.008,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
461,2.039,0.009,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
462,2.101,0.009,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
463,2.086,0.009,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
464,1.992,0.009,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
465,1.987,0.008,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
466,1.959,0.008,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
467,1.966,0.007,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
468,2.01,0.001,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
469,2.001,0.007,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
470,1.946,0.007,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
471,1.957,0.008,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
472,2.022,0.009,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
473,2.025,0.01,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
474,2.038,0.011,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
475,2.029,0.012,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
476,1.982,0.013,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
477,1.996,0.014,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
478,2.063,0.015,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
479,2.064,0.017,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
480,2.067,0.018,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
481,2.065,0.019,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
482,2.054,0.02,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
483,2.047,0.02,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
484,2.011,0.021,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
485,1.95,0.02,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
486,1.687,0.02,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
487,1.723,0.019,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
488,1.874,0.019,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
489,1.949,0.018,0,0,2.817,1.305,-5.62E-08,1.63E-07,0.829,2.482
